YEAR,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
2012,1,-0.008,0.000,0.005,0.000,0.046,601.218,-0.053,9.713,1.000,0.051,0.051,0.060,0.103,0.005,0.092,0.005
2011,1,0.082,0.091,0.007,0.080,0.042,0.526,-0.053,7.133,1.000,0.028,0.028,0.032,0.014,0.001,0.021,0.001
2018,1,0.116,0.116,0.022,0.087,0.223,2.562,-0.337,13.685,1.000,0.071,0.071,0.095,0.101,0.023,0.317,0.023
2017,1,0.074,0.074,0.046,0.056,0.208,3.694,-0.297,5.916,1.000,0.065,0.065,0.086,0.051,0.011,0.165,0.011
2016,1,0.083,0.083,0.068,0.064,0.201,3.159,-0.287,3.841,1.000,0.065,0.065,0.085,-0.015,-0.003,-0.046,-0.003
2015,1,0.160,0.160,0.117,0.121,0.211,1.746,-0.332,2.393,1.000,0.060,0.060,0.079,0.020,0.004,0.072,0.004
2014,1,0.053,0.053,0.022,0.038,0.242,6.309,-0.354,14.925,1.000,0.060,0.060,0.084,0.045,0.011,0.179,0.011
2013,1,0.060,0.060,0.029,0.043,0.243,5.718,-0.362,11.582,1.000,0.047,0.047,0.066,0.168,0.041,0.872,0.041
2012,1,0.146,0.146,0.057,0.104,0.268,2.574,-0.439,6.591,1.000,0.048,0.048,0.067,0.157,0.042,0.883,0.042
2011,1,0.193,0.193,0.124,0.149,0.201,1.347,-0.322,2.102,1.000,0.033,0.033,0.043,0.217,0.043,1.308,0.043
2018,1,5.833,6.125,4.032,0.665,0.266,0.400,0.478,0.607,1.000,0.037,0.037,0.337,0.296,0.079,2.145,0.079
2017,1,5.068,5.303,2.692,0.659,0.258,0.392,0.483,0.773,1.000,0.036,0.036,0.289,0.279,0.072,2.003,0.072
2016,1,4.501,4.771,2.240,0.661,0.292,0.442,0.559,0.941,1.000,0.041,0.041,0.294,0.265,0.077,1.900,0.077
2015,1,5.437,5.632,3.288,0.823,0.320,0.389,0.473,0.666,1.000,0.039,0.039,0.267,0.283,0.091,2.325,0.091
2014,1,138.635,138.662,138.599,0.335,1.396,4.165,4.195,4.167,1.000,0.663,0.663,274.297,0.152,0.212,0.320,0.212
2013,1,69.023,69.058,68.946,0.182,0.000,0.000,0.000,0.000,1.000,0.816,0.816,309.679,0.000,0.102,0.125,0.102
2012,1,69.909,69.926,69.758,0.138,0.000,0.000,0.000,0.000,1.000,0.860,0.860,434.503,0.000,0.125,0.146,0.125
2011,1,6.239,6.281,5.863,0.015,0.000,0.000,0.000,0.000,1.000,0.984,0.984,409.859,0.000,-0.005,-0.005,-0.005
2018,0,0.336,0.432,0.004,0.289,0.056,0.194,-0.148,23.464,1.000,0.185,0.185,0.276,-0.632,-0.036,-0.192,-0.036
2017,0,0.375,0.453,0.031,0.289,0.113,0.393,-0.325,5.651,1.000,0.183,0.183,0.286,-0.069,-0.008,-0.043,-0.008
2016,0,0.300,0.398,0.020,0.248,0.047,0.191,-0.126,3.732,1.000,0.184,0.184,0.297,-2.244,-0.106,-0.575,-0.106
2015,0,0.568,0.734,0.013,0.619,0.085,0.137,-0.376,7.471,1.000,0.029,0.029,0.034,-0.051,-0.004,-0.148,-0.004
2014,0,0.689,0.730,0.021,0.610,0.235,0.386,-1.044,13.541,1.000,0.030,0.030,0.035,-0.010,-0.002,-0.076,-0.002
2013,0,0.644,0.720,0.000,0.594,0.171,0.288,-0.738,807.862,1.000,0.031,0.031,0.038,-0.029,-0.005,-0.160,-0.005
2012,0,0.657,0.707,0.005,0.576,0.143,0.248,-0.599,33.940,1.000,0.032,0.032,0.040,-0.016,-0.002,-0.072,-0.002
2011,0,0.642,0.685,0.000,0.547,0.154,0.282,-0.613,0.000,1.000,0.034,0.034,0.043,-0.027,-0.004,-0.122,-0.004
2018,0,0.883,1.084,0.049,0.880,0.509,0.579,7.494,12.832,1.000,0.754,0.754,0.928,-0.727,-0.370,-0.491,-0.370
2017,0,1.150,1.321,0.025,0.897,0.571,0.637,2.623,33.247,1.000,0.443,0.443,0.653,-0.086,-0.049,-0.111,-0.049
2016,0,1.208,1.316,0.028,0.881,0.499,0.566,2.358,26.279,1.000,0.393,0.393,0.587,0.412,0.205,0.523,0.205
2015,0,1.181,1.287,0.028,0.805,0.822,1.021,4.577,47.590,1.000,0.709,0.709,1.133,-0.072,-0.059,-0.083,-0.059
2014,0,0.725,0.787,0.114,0.790,0.615,0.778,-2.869,5.373,1.000,0.216,0.216,0.215,-1.265,-0.778,-3.605,-0.778
2013,0,2.478,2.567,0.204,0.863,0.156,0.181,0.296,2.279,1.000,0.373,0.373,1.111,-0.517,-0.081,-0.216,-0.081
2012,0,1.593,1.670,0.051,0.823,0.303,0.368,0.918,11.945,1.000,0.363,0.363,0.736,-0.761,-0.231,-0.635,-0.231
2011,0,1.164,1.256,0.011,0.784,0.774,0.986,4.833,110.791,1.000,0.370,0.370,0.592,-0.137,-0.106,-0.286,-0.106
2018,0,0.322,0.416,0.052,0.219,0.449,2.054,-1.464,16.475,1.000,0.077,0.077,0.146,0.325,0.146,1.900,0.146
2017,0,0.430,0.558,0.059,0.268,0.559,2.086,-2.636,19.904,1.000,0.065,0.065,0.135,-0.440,-0.246,-3.788,-0.246
2016,0,-0.782,-0.877,-0.098,0.382,0.513,1.341,0.627,11.988,-1.000,0.052,-0.052,0.120,-0.409,-0.210,4.007,0.210
2015,0,-0.581,-0.657,-0.117,0.385,0.553,1.436,0.570,8.085,-1.000,0.059,-0.059,0.101,-0.427,-0.236,3.980,0.236
2014,0,-0.296,-0.402,-0.192,0.225,0.602,2.670,0.766,5.603,-1.000,0.056,-0.056,0.100,-0.405,-0.244,4.351,0.244
2013,0,0.496,0.572,0.353,0.220,-0.372,-1.687,2.250,-2.733,1.000,0.035,0.035,0.091,0.553,-0.206,-5.833,-0.206
2012,0,1.747,1.843,1.678,0.563,0.297,0.528,1.154,0.580,1.000,0.310,0.310,1.013,0.553,0.164,0.530,0.164
2011,0,1.256,1.339,1.217,0.482,0.362,0.752,2.970,0.827,1.000,0.027,0.027,0.076,0.552,0.200,7.350,0.200
2018,1,1.158,1.235,0.106,0.547,0.321,0.588,3.085,6.838,1.000,0.073,0.073,0.165,0.195,0.063,0.858,0.063
2017,1,0.713,0.762,0.077,0.466,0.739,1.585,-5.069,15.607,1.636,0.110,0.179,0.293,0.159,0.118,0.656,0.072
2016,1,2.162,2.281,0.513,0.481,0.197,0.409,0.729,1.822,0.536,0.068,0.036,0.172,0.066,0.013,0.358,0.024
2015,1,1.254,1.390,0.373,0.388,0.223,0.575,2.050,2.143,0.647,0.075,0.049,0.174,0.081,0.018,0.374,0.028
2014,1,1.059,1.166,0.205,0.450,0.417,0.927,6.524,5.283,1.000,0.106,0.106,0.274,0.118,0.049,0.466,0.049
2013,1,1.251,1.350,0.287,0.499,0.457,0.915,3.531,4.302,1.000,0.103,0.103,0.277,0.118,0.054,0.527,0.054
2012,1,1.257,1.375,0.136,0.514,0.317,0.617,2.263,6.235,1.000,0.114,0.114,0.305,0.016,0.005,0.044,0.005
2011,1,1.421,1.586,0.162,0.449,0.326,0.726,1.964,7.122,1.000,0.119,0.119,0.419,0.031,0.010,0.086,0.010
2018,1,1.626,1.704,0.491,0.753,1.958,2.602,6.297,9.030,1.000,0.025,0.025,0.057,0.129,0.252,10.066,0.252
2017,1,1.593,1.756,0.413,0.750,2.109,2.812,6.532,11.941,1.000,0.023,0.023,0.054,0.147,0.309,13.503,0.309
2016,1,1.031,1.227,0.288,0.681,1.653,2.429,13.151,10.331,1.000,0.019,0.019,0.035,0.151,0.249,12.845,0.249
2015,1,0.879,0.940,0.268,0.565,2.209,3.912,-61.331,13.717,1.000,0.034,0.034,0.056,0.083,0.183,5.423,0.183
2014,1,0.708,0.713,0.271,0.519,1.721,3.317,-8.251,8.729,1.000,0.045,0.045,0.062,0.105,0.181,4.010,0.181
2013,1,0.724,0.759,0.064,0.622,1.898,3.053,-9.639,36.179,1.000,0.068,0.068,0.083,0.020,0.039,0.573,0.039
2012,1,2.081,2.166,0.160,0.643,1.199,1.866,3.466,25.224,1.000,0.596,0.596,2.009,0.028,0.033,0.055,0.033
2011,1,1.361,1.417,0.105,0.643,0.966,1.503,5.106,20.319,0.790,0.313,0.247,0.545,0.019,0.018,0.074,0.023
2018,1,0.556,1.571,0.246,0.389,1.056,2.715,7.473,17.324,1.000,0.274,0.274,1.105,0.056,0.060,0.218,0.060
2017,1,0.555,1.009,0.342,0.379,0.980,2.587,288.855,7.626,1.000,0.171,0.171,0.454,0.078,0.077,0.449,0.077
2016,1,1.266,2.082,0.836,0.497,1.217,2.446,4.708,6.094,1.000,0.238,0.238,0.996,0.091,0.111,0.467,0.111
2015,1,1.197,2.040,0.804,0.513,1.189,2.315,4.541,5.870,1.000,0.253,0.253,1.006,0.038,0.045,0.178,0.045
2014,1,0.641,1.719,0.087,0.389,1.422,3.657,8.740,72.296,1.000,0.335,0.335,1.480,3.437,4.886,14.606,4.886
2013,1,0.575,1.572,0.173,0.395,1.272,3.222,8.854,29.330,1.000,0.349,0.349,1.390,0.044,0.056,0.161,0.056
2012,1,0.744,1.802,0.296,0.399,0.977,2.451,5.509,14.940,1.000,0.411,0.411,1.860,0.037,0.036,0.088,0.036
2011,1,0.502,1.286,0.151,0.373,1.195,3.204,14.413,27.355,1.000,0.271,0.271,0.934,0.086,0.103,0.380,0.103
2018,0,1.027,1.498,0.106,0.240,0.101,0.422,1.268,5.955,1.000,0.644,0.644,4.019,-0.220,-0.022,-0.035,-0.022
2017,0,1.004,1.355,0.025,0.314,0.103,0.329,1.257,17.571,1.000,0.562,0.562,2.424,-0.351,-0.036,-0.065,-0.036
2016,0,0.442,0.917,0.050,0.187,0.122,0.651,-7.161,12.033,1.000,0.510,0.510,2.501,-0.376,-0.046,-0.090,-0.046
2015,0,1.550,2.424,0.375,0.331,0.129,0.389,0.663,2.518,1.000,0.343,0.343,2.514,-0.451,-0.058,-0.169,-0.058
2014,0,0.926,1.854,0.066,0.258,0.114,0.443,0.961,12.520,1.000,0.444,0.444,3.198,-0.561,-0.064,-0.144,-0.064
2013,0,0.872,1.518,0.117,0.310,0.128,0.415,1.216,5.380,1.000,0.199,0.199,0.977,-0.465,-0.060,-0.299,-0.060
2012,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2011,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
